vehicle_id	tour_id	route	ident	lon	lat
2	0	5	15	-79.853355	-6.772182
2	0	5	16	-79.852544	-6.7721
2	0	5	17	-79.852356	-6.77193
2	0	5	18	-79.852787	-6.771665
2	0	5	19	-79.852989	-6.77152
2	0	5	20	-79.854145	-6.771427
2	0	5	21	-79.854461	-6.77119
2	0	5	22	-79.854394	-6.77081
2	0	5	23	-79.856443	-6.76855
2	0	5	24	-79.856773	-6.768216
2	0	5	25	-79.857549	-6.767071
2	0	5	26	-79.85708	-6.76669
2	0	5	27	-79.85501	-6.765181
2	0	5	28	-79.855697	-6.76771
2	0	5	29	-79.853922	-6.770886
2	0	5	30	-79.853366	-6.7709
2	0	5	31	-79.852273	-6.77119
2	0	5	32	-79.852254	-6.77106
2	0	5	33	-79.851716	-6.77069
2	0	5	34	-79.851293	-6.770736
2	0	5	35	-79.851329	-6.77122
2	0	5	36	-79.851685	-6.77163
2	0	5	37	-79.851655	-6.771675
2	0	5	38	-79.851455	-6.77187
2	0	5	39	-79.850905	-6.772299
2	0	5	40	-79.846696	-6.768981
2	1	6	1	-79.845917	-6.77038
2	1	6	2	-79.850063	-6.770588
2	1	6	3	-79.849704	-6.76902
2	1	6	4	-79.85222	-6.76808
2	1	6	5	-79.852531	-6.76802
2	1	6	6	-79.853054	-6.76784
2	1	6	7	-79.853212	-6.767543
2	1	6	8	-79.853284	-6.76794
2	1	6	9	-79.854002	-6.767944
2	1	6	10	-79.854151	-6.76763
2	1	6	11	-79.854309	-6.767707
2	1	6	12	-79.854141	-6.768702
2	1	6	13	-79.854457	-6.769469
2	1	6	14	-79.85495	-6.768886
2	1	6	15	-79.856223	-6.768842
2	1	6	16	-79.855454	-6.76774
2	1	6	17	-79.854937	-6.767316
2	1	6	18	-79.855146	-6.76719
2	1	6	19	-79.854919	-6.7669
2	1	6	20	-79.854676	-6.76676
2	1	6	21	-79.854361	-6.767051
2	1	6	22	-79.853869	-6.766748
2	1	6	23	-79.854204	-6.766637
2	1	6	24	-79.854241	-6.76627
2	1	6	25	-79.854401	-6.766069
2	1	6	26	-79.856524	-6.765383
2	1	6	27	-79.856283	-6.765071
2	1	6	28	-79.855012	-6.765345
2	1	6	29	-79.854257	-6.765032
2	1	6	30	-79.854085	-6.765862
2	1	6	31	-79.853829	-6.7656
2	1	6	32	-79.853566	-6.765697
2	1	6	33	-79.853566	-6.765697
2	1	6	34	-79.852923	-6.765438
2	1	6	35	-79.853038	-6.765636
2	1	6	36	-79.85299	-6.765724
2	1	6	37	-79.853014	-6.766597
2	1	6	38	-79.852945	-6.76678
2	1	6	39	-79.852642	-6.76688
2	1	6	40	-79.852594	-6.766809
2	1	6	41	-79.849036	-6.76707
8	0	7	1	-79.868558	-6.880466
8	0	7	2	-79.868848	-6.880324
8	0	7	3	-79.869608	-6.88059
8	0	7	4	-79.871663	-6.88118
8	0	7	5	-79.871864	-6.881572
8	0	7	6	-79.87228	-6.881493
8	0	7	7	-79.87259	-6.881366
8	0	7	8	-79.872624	-6.881616
8	0	7	9	-79.872677	-6.88186
8	0	7	10	-79.872814	-6.88244
8	0	7	11	-79.873232	-6.88245
8	0	7	12	-79.873587	-6.88229
8	0	7	13	-79.873839	-6.883328
8	0	7	14	-79.873847	-6.88355
8	0	7	15	-79.872794	-6.886602
8	0	7	16	-79.872686	-6.88338
8	0	7	17	-79.871849	-6.882947
8	0	7	18	-79.871538	-6.8831
8	0	7	19	-79.871628	-6.883841
8	0	7	20	-79.871598	-6.88409
8	0	7	21	-79.871055	-6.8832
8	0	7	22	-79.871157	-6.88305
8	0	7	23	-79.870559	-6.8823
8	0	7	24	-79.871412	-6.882285
8	0	7	25	-79.871363	-6.88162
8	0	7	26	-79.870895	-6.88147
