vehicle_id	tour_id	route	ident	lon	lat
3	0	7	1	-79.831371	-6.775316
3	0	7	2	-79.831625	-6.77542
3	0	7	3	-79.833112	-6.776224
3	0	7	4	-79.833616	-6.77617
3	0	7	5	-79.855313	-6.776344
3	0	7	6	-79.855219	-6.77635
3	0	7	7	-79.835827	-6.773775
3	0	7	8	-79.835725	-6.773763
3	0	7	9	-79.835656	-6.773757
3	0	7	10	-79.834717	-6.773579
3	0	7	11	-79.834682	-6.773456
3	0	7	12	-79.833744	-6.773466
3	0	7	13	-79.834083	-6.773084
3	0	7	14	-79.834072	-6.77302
3	0	7	15	-79.832305	-6.7725
3	0	7	16	-79.832496	-6.7724
3	0	7	17	-79.833295	-6.77252
3	0	7	18	-79.834473	-6.772679
3	0	7	19	-79.834528	-6.77321
3	0	7	20	-79.834809	-6.7727
3	0	7	21	-79.836004	-6.7735
3	0	7	22	-79.8338	-6.774026
3	0	7	23	-79.833628	-6.774146
3	0	7	24	-79.833653	-6.775156
3	0	7	25	-79.833562	-6.775298
3	0	7	26	-79.833331	-6.775089
3	0	7	27	-79.832032	-6.774811
3	0	7	28	-79.831919	-6.774977
3	0	7	29	-79.831523	-6.775296
3	0	7	30	-79.831456	-6.77478
3	0	7	31	-79.831102	-6.774823
3	1	8	1	-79.832032	-6.77179
3	1	8	2	-79.832976	-6.77183
3	1	8	3	-79.854946	-6.77246
3	1	8	4	-79.85529	-6.772259
3	1	8	5	-79.854722	-6.771205
3	1	8	6	-79.832778	-6.77122
3	1	8	7	-79.83236	-6.77098
3	1	8	8	-79.83217	-6.773111
3	1	8	9	-79.831829	-6.77413
3	1	8	10	-79.832064	-6.774065
3	1	8	11	-79.832017	-6.77361
3	1	8	12	-79.8321	-6.774889
3	1	8	13	-79.832056	-6.774894
3	1	8	14	-79.831868	-6.775104
3	1	8	15	-79.832203	-6.775188
3	1	8	16	-79.832081	-6.775472
3	1	8	17	-79.832345	-6.77573
3	1	8	18	-79.832368	-6.77589
3	1	8	19	-79.832735	-6.776267
3	1	8	20	-79.833275	-6.776156
3	1	8	21	-79.833373	-6.7762
3	2	9	1	-79.833826	-6.776113
3	2	9	2	-79.835948	-6.77367
3	2	9	3	-79.855586	-6.77068
3	2	9	4	-79.855122	-6.77151
3	2	9	5	-79.854741	-6.771932
3	2	9	6	-79.854842	-6.77225
3	2	9	7	-79.854886	-6.773743
4	0	10	1	-79.865884	-6.771885
4	0	10	2	-79.866482	-6.77169
4	0	10	3	-79.86695	-6.771542
4	0	10	4	-79.86689	-6.771611
4	0	10	5	-79.868762	-6.771504
4	0	10	6	-79.868332	-6.77107
4	0	10	7	-79.867696	-6.770895
4	0	10	8	-79.866824	-6.77233
4	0	10	9	-79.865997	-6.773487
4	0	10	10	-79.86575	-6.775085
4	0	10	11	-79.866085	-6.77539
4	0	10	12	-79.866411	-6.775424
4	0	10	13	-79.866415	-6.77656
4	0	10	14	-79.866167	-6.77639
4	0	10	15	-79.866191	-6.77629
4	0	10	16	-79.865706	-6.776795
4	0	10	17	-79.865699	-6.77686
4	0	10	18	-79.865462	-6.777389
4	0	10	19	-79.866365	-6.7779
4	0	10	20	-79.867394	-6.778769
4	0	10	21	-79.867909	-6.778966
4	0	10	22	-79.868037	-6.77971
4	0	10	23	-79.867281	-6.77927
4	0	10	24	-79.866882	-6.779009
4	0	10	25	-79.866532	-6.779257
4	0	10	26	-79.866311	-6.77851
4	0	10	27	-79.865908	-6.779365
4	0	10	28	-79.865707	-6.77942
4	0	10	29	-79.866508	-6.78012
4	0	10	30	-79.868197	-6.780224
4	0	10	31	-79.868041	-6.78014
4	0	10	32	-79.867421	-6.78035
4	0	10	33	-79.867303	-6.78038
4	0	10	34	-79.867177	-6.78037
4	0	10	35	-79.866601	-6.78124
4	0	10	36	-79.865761	-6.78075
4	0	10	37	-79.865839	-6.780808
4	1	11	1	-79.868396	-6.77603
4	1	11	2	-79.868104	-6.77608
